"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_1"
4.86808193909016e-05,-0.98356855013227,0.106,0.195,1,"dhrs13b.1",0.00110623656245497
4.93212184781595e-05,-0.16371707800925,0.904,0.938,1,"cox7a2a",0.00111237758792777
4.93539494824887e-05,-0.496083001060678,0.342,0.46,1,"CU302436.1",0.00111237758792777
5.01139320850637e-05,-0.472624144396549,0.135,0.238,1,"LO017771.1",0.00112491517468993
5.21007559290731e-05,-0.313512564392179,0.656,0.765,1,"nars1",0.00116477884307831
5.26975948276634e-05,-0.392546359142588,0.399,0.514,1,"rbm12b",0.00117337144612241
5.79130922126883e-05,-0.141537427071043,0.977,0.992,1,"actb1",0.00127521030243997
5.79188276691659e-05,-0.547658418071512,0.317,0.413,1,"pdss1",0.00127521030243997
5.79641046563623e-05,-0.114005077822673,0.881,0.944,1,"rpa3",0.00127521030243997
5.91448643356721e-05,-0.181441672692177,0.842,0.893,1,"aldoaa",0.00129602357484755
6.1844435433654e-05,1.69715681571273,0.14,0.069,1,"CT583728.24",0.00134982202555193
6.31469925570089e-05,-0.365358920067715,0.294,0.4,1,"prrg1",0.00137282556259765
6.36066933088122e-05,-1.30395206523036,0.053,0.126,1,"f3a",0.001377396707652
6.4960595295691e-05,-0.337978254352438,0.523,0.636,1,"ndufaf3",0.00140122034071409
6.60434133291944e-05,-1.57063318121791,0.044,0.111,1,"tmtops2b",0.00141903396266074
6.67145047573154e-05,-0.146460920781067,0.924,0.958,1,"atp5pf",0.0014211697251075
